filename,file_size,file_attributes,region_count,region_id,region_shape_attributes
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_53.png,120979,{},8,0,"{""name"":""polygon"",""all_points_x"":[42,42,50,50],""all_points_y"":[5,15,15,5]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_53.png,120979,{},8,1,"{""name"":""polygon"",""all_points_x"":[230,231,242,242],""all_points_y"":[10,20,20,10]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_53.png,120979,{},8,2,"{""name"":""polygon"",""all_points_x"":[295,226,177,61,50,120,182,295],""all_points_y"":[30,40,50,60,70,80,90,30]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_53.png,120979,{},8,3,"{""name"":""polygon"",""all_points_x"":[189,174,161,60,53,120,156,189],""all_points_y"":[35,45,55,65,75,85,95,35]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_53.png,120979,{},8,4,"{""name"":""polygon"",""all_points_x"":[65,65,56,56],""all_points_y"":[25,35,35,25]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_53.png,120979,{},8,5,"{""name"":""polygon"",""all_points_x"":[151,152,147,146],""all_points_y"":[40,50,50,40]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_53.png,120979,{},8,6,"{""name"":""polygon"",""all_points_x"":[109,109,116,115],""all_points_y"":[45,55,55,45]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_53.png,120979,{},8,7,"{""name"":""polygon"",""all_points_x"":[80,86,85,81],""all_points_y"":[50,60,60,50]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_54.png,118335,{},8,0,"{""name"":""polygon"",""all_points_x"":[42,42,50,50],""all_points_y"":[5,15,15,5]}"
20170412_152026_JABIL_QCELLS_521011165014200055_0Pa_s_A_V_cell_54.png,118335,{},8,1,"{""name"":""polygon"",""all_points_x"":[230,231,242,242],""all_points_y"":[10,20,20,10]}"
